Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,OBV,Daily_Return
2020-03-12 00:00:00+05:30,2631.06227994422,2652.459160465384,2488.1630326752083,2511.033935546875,774263,0.0,0.0,2719.0998291015626,2764.92720703125,30.780539511992995,-32.40591407518059,-13.372843417203104,-19.033070657977486,90.20726231175604,-2091659.0,-0.04561972755730038
2020-03-13 00:00:00+05:30,2412.178964718695,2724.7794033078503,2153.093075915576,2468.999267578125,1108162,0.0,0.0,2702.4289794921874,2753.322189797794,28.66230301218774,-47.821998269132564,-23.031142088924064,-24.7908561802085,125.46564224461706,-3199821.0,0.023555591724536962
2020-03-16 00:00:00+05:30,2416.4674915396977,2452.069337822142,2324.670674668418,2420.2197265625,791034,0.0,0.0,2683.3906372070314,2740.2593481022923,26.392474236906697,-63.246392311006275,-30.764428904638223,-32.48196340636805,126.8444801876186,-3990855.0,0.0015527769506270151
2020-03-17 00:00:00+05:30,2430.0467266613923,2497.721741199849,2384.528064136108,2399.671142578125,567266,0.0,0.0,2665.0468994140624,2726.9029478856583,25.477176916669244,-76.24947819087447,-35.01401182760513,-41.23546636326934,125.8483008728919,-4558121.0,-0.012499999999999963
2020-03-18 00:00:00+05:30,2437.194511663608,2452.337593763703,2215.6313742396437,2235.241455078125,649481,0.0,0.0,2639.042272949219,2707.6221050304607,19.61505725043643,-98.68503931395207,-45.959658360546186,-52.72538095340589,133.92575630418057,-5207602.0,-0.08286292112467936
2020-03-19 00:00:00+05:30,2134.331879712805,2147.732875190281,2019.083318606504,2071.034423828125,786857,0.0,0.0,2605.6157348632814,2682.657882238212,15.724035964517027,-128.23727870594803,-60.40951820203371,-67.82776050391432,139.90888210527345,-5994459.0,-0.029656801028149958
2020-03-20 00:00:00+05:30,2091.716634263277,2234.3030868590085,2049.68213730679,2204.731689453125,742455,0.0,0.0,2578.16826171875,2663.9156785995815,28.210768027019576,-139.26404018878293,-57.14902374789489,-82.11501644088804,143.15775496943277,-5252004.0,0.05402981137053167
2020-03-23 00:00:00+05:30,2054.8192604601268,2164.1712938576816,1876.1393247679416,1909.95458984375,613493,0.0,0.0,2537.002648925781,2634.3485770797447,20.868975688104832,-169.83116849672297,-70.17292164466795,-99.65824685205502,156.61522352182902,-5865497.0,-0.07049995754076095
2020-03-24 00:00:00+05:30,1891.32724322207,2188.82935564198,1886.7708173173187,2112.622314453125,929170,0.0,0.0,2507.0067749023438,2613.8887236434066,33.65340532498921,-175.67714947004015,-60.8151220943881,-114.86202737565205,167.15835905008186,-4936327.0,0.11700517296734765
2020-03-25 00:00:00+05:30,2112.532918175932,2243.8626678784995,2070.0964344285035,2190.079833984375,1249005,0.0,0.0,2481.0021362304688,2597.2687671861895,37.79013824946131,-172.07636776892014,-45.77147231461447,-126.30489545430567,167.63685385489015,-3687322.0,0.03670802719391509
2020-03-26 00:00:00+05:30,2208.081932589292,2384.3050122755594,2159.615001927796,2312.520263671875,944116,0.0,0.0,2460.77109375,2586.102159205236,43.759575347975286,-157.52693053207213,-24.97762806221317,-132.54930246985896,171.76417138235817,-2743206.0,0.047298213685446885
2020-03-27 00:00:00+05:30,2403.2450997161336,2420.1749797509547,2237.966161631567,2259.631103515625,472582,0.0,0.0,2438.579052734375,2573.2993727076046,41.889719588503304,-148.55169840134158,-12.801916745186077,-135.7497816561555,172.5190647526804,-3215788.0,-0.05975836431226761
2020-03-30 00:00:00+05:30,2202.4534663280856,2304.390452674858,2182.3519743932384,2210.04736328125,701815,0.0,0.0,2416.402624511719,2559.0541958673557,40.15728576219104,-143.78232260933646,-6.426032762544764,-137.3562898467917,168.87363669022324,-3917603.0,0.0034479261738160094
2020-03-31 00:00:00+05:30,2304.926325367212,2421.112990547705,2224.565072495862,2402.306884765625,734769,0.0,0.0,2404.7817260742186,2552.907242490817,48.96997125729291,-123.07014530221022,11.428915635665192,-134.4990609378754,171.91811570635582,-3182834.0,0.04224888159186549
2020-04-01 00:00:00+05:30,2412.178902999212,2483.650870495485,2237.9659822270464,2291.43603515625,1167150,0.0,0.0,2384.159814453125,2542.6534696541676,44.86665594024689,-114.28454544008491,16.171612398232412,-130.45615783831732,177.23708141434162,-4349984.0,-0.05005551938657402
2020-04-03 00:00:00+05:30,2312.967165155038,2331.7732729140253,2211.1643105219205,2290.0068359375,726903,0.0,0.0,2361.833776855469,2532.745758528024,44.81452639560627,-106.21286291666684,19.394635937320402,-125.60749885398724,173.15666204854912,-5076887.0,-0.00992678562992005
