Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,OBV,Daily_Return
2020-03-12 00:00:00+05:30,994.936552676934,994.983090441906,933.659596497632,945.2362060546876,9200130,0.0,0.0,1126.0311096191406,1187.6530078125,17.037585753826257,-51.74407753234573,-15.121192745750612,-36.622884786595115,37.2620973427338,-29726737.0,-0.04995328243647769
2020-03-13 00:00:00+05:30,883.3550164056842,986.0566147524618,827.5641732642725,977.68798828125,8117911,0.0,0.0,1114.6009643554687,1179.4190854779413,25.785288572873917,-55.486650853818674,-15.091012853778842,-40.39563800003983,46.13971185034931,-21608826.0,0.10678942228618424
2020-03-16 00:00:00+05:30,943.097636763767,968.9008996873011,894.4201526526124,900.7431030273438,6671806,0.0,0.0,1099.5583587646483,1168.4906155779179,20.315544637771502,-63.924593438146985,-18.82316435048572,-45.101429087661266,48.85369158379085,-28280632.0,-0.04491002000785682
2020-03-17 00:00:00+05:30,903.8115180787825,934.4964770259014,874.1959061599568,889.63134765625,4720207,0.0,0.0,1083.8253387451173,1157.5549580123622,19.666738512252877,-70.69343955589136,-20.473608374584074,-50.219831181307285,49.689037625747105,-33000839.0,-0.015689300411522764
2020-03-18 00:00:00+05:30,900.0921424058749,906.3686113740978,836.8625290963713,841.0933227539062,5586097,0.0,0.0,1066.3604919433594,1145.1446978061483,17.098020572460705,-79.06302252290482,-23.074553073278025,-55.98846944962679,51.1329696145833,-38586936.0,-0.06554753327172652
2020-03-19 00:00:00+05:30,812.5935654263224,821.9850003076733,778.9330823435911,783.9542236328125,7251950,0.0,0.0,1045.752752685547,1130.9803654856253,14.669051041096848,-89.27748976286989,-26.631216250594477,-62.646273512275414,51.935300135471046,-45838886.0,-0.03524436201815651
2020-03-20 00:00:00+05:30,789.4402671090957,816.2198549253735,772.9819604370662,804.0388793945312,6130185,0.0,0.0,1026.379379272461,1118.159130736955,19.023668570290294,-94.66067543412566,-25.6115215374802,-69.04915389664546,51.3033283477834,-39708701.0,0.018492358312168736
2020-03-23 00:00:00+05:30,752.246391018673,753.1297572166494,656.472128626926,673.255859375,7308612,0.0,0.0,1000.5040557861328,1100.7119436247215,14.01002034101268,-108.2323504153386,-31.3465572149545,-76.8857932003841,58.289413534074015,-47017313.0,-0.10500619555875303
2020-03-24 00:00:00+05:30,711.866531577135,712.5736837608208,633.6083565825625,667.4573974609375,7110384,10.0,0.0,975.3104949951172,1083.7215692653574,13.835914402156037,-118.0945673719367,-32.96701933724208,-85.12754803469463,59.788203354813454,-54127697.0,-0.062384073623758356
2020-03-25 00:00:00+05:30,657.3685710751666,730.7238004350055,623.236686564566,722.0022583007812,16122446,0.0,0.0,953.6647705078125,1069.5364982471388,23.47042844460587,-120.12441150316499,-27.997490774776296,-92.1269207283887,63.242215870099784,-38005251.0,0.09832183963389404
2020-03-26 00:00:00+05:30,742.7453844712287,794.178899744081,711.0649950268605,790.1245727539062,9028497,0.0,0.0,936.8617706298828,1058.5791678356395,33.47520343453816,-114.91154735897021,-18.227701304465214,-96.683846054505,64.67976595007401,-28976754.0,0.06378927324658838
2020-03-27 00:00:00+05:30,818.3165029273306,839.1538968984544,765.610072226455,789.2289428710938,6573448,0.0,0.0,920.0511779785156,1048.0164139154613,33.41335595506318,-109.58930749466606,-10.324369152128838,-99.26493834253722,65.32042133381286,-35550202.0,-0.035545610961263865
2020-03-30 00:00:00+05:30,755.238364039293,768.4385351960346,745.8096703559061,753.0226440429688,4474168,0.0,0.0,902.4903045654297,1036.4480307832066,30.925868365687325,-107.05883220841315,-6.235115092700738,-100.82371711571241,63.73884179829703,-40024370.0,-0.0029338022296347735
2020-03-31 00:00:00+05:30,773.1529350021258,775.981543300914,745.9983068433951,762.3099365234375,8045468,0.0,0.0,886.6328155517579,1025.6975172828236,32.31775936870383,-103.11535579244071,-1.833310941382635,-101.28204485105807,61.303113340518514,-31978902.0,-0.014024390243902358
2020-04-01 00:00:00+05:30,760.7541565471323,765.9871277844053,722.7565310281683,730.1109008789062,4104403,0.0,0.0,868.2169250488281,1014.1058852669837,30.056421325267486,-101.41921778812355,-0.10973834965237472,-101.30947943847117,59.99999145203007,-36083305.0,-0.04028010284861003
2020-04-03 00:00:00+05:30,745.9039543155026,745.9039543155026,719.2207619841905,730.393798828125,4268480,0.0,0.0,850.0313781738281,1002.9799210929109,30.102697375121288,-98.91199281684771,1.9179892972987744,-100.82998211414649,57.599302277010636,-31814825.0,-0.020793770293939327
2020-04-07 00:00:00+05:30,759.0099080007254,766.552863608186,745.8097356876693,755.851318359375,5768998,0.0,0.0,832.8490478515625,993.2886033386546,34.31432593258292,-93.78964129193821,5.632272657766634,-99.42191394970484,56.05536493490375,-26045827.0,-0.004161460355201862
2020-04-08 00:00:00+05:30,758.0671176507688,784.4674650316414,752.1270509997105,760.989990234375,6151091,0.0,0.0,817.0185424804688,984.1788538051535,35.16356170497397,-88.29765255399548,8.899409116567512,-97.19706167056299,54.34861714783989,-19894736.0,0.0038556910272854986
2020-04-09 00:00:00+05:30,786.6830824296992,786.6830824296992,758.4441891643601,766.3642578125,6410296,0.0,0.0,804.1044921875,975.6371049426966,36.094136759071894,-82.55985481799064,11.70976548205789,-94.26962030004853,52.470534772283884,-13484440.0,-0.025828475368306857
2020-04-13 00:00:00+05:30,766.3643072024106,822.5593631329441,761.7914132116539,816.0064086914062,9462711,0.0,0.0,792.9751678466797,969.3770776387245,44.078287167382626,-73.16351857502002,16.88488138002282,-90.04839995504284,53.067071654071185,-4021729.0,0.06477611368699127
2020-04-15 00:00:00+05:30,840.0495557934275,873.6628174693735,819.35355966397,829.8665771484375,10435477,0.0,0.0,787.2066864013672,963.9060776194975,46.10296298847173,-63.86228991999462,20.948888028038567,-84.81117794803319,53.396865254047455,6413748.0,-0.01212187849486119
2020-04-16 00:00:00+05:30,825.9065633973188,867.2513686219784,820.437931718477,859.5670166015625,6980512,0.0,0.0,781.3006378173828,959.8143497364413,50.25890450400486,-53.47796130318716,25.066573315876838,-78.544534619064,52.92397900424233,13394260.0,0.04075576426682382
2020-04-17 00:00:00+05:30,876.8686217805412,886.2973166383964,863.6684489795438,879.6029663085938,5827648,0.0,0.0,780.2436309814453,956.6688052882904,52.897542685571175,-43.1343464694786,28.328150519668313,-71.46249698914691,51.043247225572316,19221908.0,0.0031183058215725826
2020-04-20 00:00:00+05:30,887.0516445256501,889.1259690064588,858.954143971245,863.2913208007812,4958362,0.0,0.0,778.9266296386719,953.0069431515253,50.546667613981455,-35.840029116404594,28.497974298193853,-64.33800341459845,49.54521656808892,14263546.0,-0.02678572760842425
2020-04-21 00:00:00+05:30,845.7538347975647,854.8053578363267,813.696275842027,820.6263427734375,5122305,0.0,0.0,777.9032806396484,947.815547058267,44.92298163866319,-33.12014876371131,24.974283720709707,-58.09443248442102,49.548791727564684,9141241.0,-0.029710172144997177
2020-04-22 00:00:00+05:30,823.1250010201162,834.9108687323171,801.4390044296664,803.8904418945312,6090168,0.0,0.0,778.9000915527344,942.1714252871402,42.90641306784688,-31.946808400645295,20.91809926702058,-52.864907667665875,48.39565108984135,3051073.0,-0.02336772556020915
2020-04-23 00:00:00+05:30,810.8677404575386,819.8250003811975,787.296003816331,792.5760498046875,6321888,0.0,0.0,778.3269500732422,936.3049399741028,41.54851630361713,-31.56603103617215,17.039101305194983,-48.60513234136713,47.25793145846203,-3270815.0,-0.02255816792332851
2020-04-24 00:00:00+05:30,790.1246072278044,819.353560478475,786.494582827237,802.5704956054688,7960368,0.0,0.0,784.7926818847657,931.0604519596466,43.25684027672186,-30.110696615099073,14.795548581014451,-44.906245196113524,46.225738818716714,4689553.0,0.015751804542996614
2020-04-27 00:00:00+05:30,812.7063359614659,824.9165068790164,803.5604907640482,806.3890991210938,4224177,0.0,0.0,791.7392669677735,926.1713792993112,43.93110007375021,-28.322717553295433,13.266822114254474,-41.58953966754991,44.514353799629056,8913730.0,-0.007773086736057763
2020-04-28 00:00:00+05:30,814.4505890722963,818.12780280964,803.4190054084477,808.1805419921875,3772704,0.0,0.0,796.0481811523438,921.5442876402083,44.26569505135538,-26.456206121387254,12.106666836930124,-38.56287295831738,42.378792125056165,12686434.0,-0.007698499042465872
2020-04-29 00:00:00+05:30,812.7534148939034,832.6008040612007,805.2104597672777,825.3406982421875,4837925,0.0,0.0,797.8089874267578,917.7715978598937,47.4977466391971,-23.323443035175615,12.191543938513412,-35.51498697368903,41.305110588889306,17524359.0,0.015487210656539994
2020-04-30 00:00:00+05:30,839.3424540542736,864.4227601427126,833.5909154818622,846.2725219726562,6332497,0.0,0.0,800.661166381836,914.9677125309826,51.214128060218876,-18.93342968673676,13.265245829561813,-32.19867551629857,41.145897554903875,23856856.0,0.008256544018366216
2020-05-04 00:00:00+05:30,829.7252000961466,829.7252000961466,796.7247660014135,802.052001953125,4678576,0.0,0.0,803.1126342773438,910.539645449498,44.11042162335531,-18.805757809184797,10.714334165691021,-29.520091974875818,41.74751747659753,19178280.0,-0.033352244984019924
2020-05-05 00:00:00+05:30,811.8105312443251,820.1077702282432,787.2959275133699,789.08740234375,4296433,0.0,0.0,804.4515075683594,905.7768123865276,42.25969804051654,-19.525632428840026,7.9955676368286355,-27.521200065668662,41.10778656344056,14881847.0,-0.02799068012304009
2020-05-06 00:00:00+05:30,790.1246197512626,799.5533144976977,770.8900594492607,789.464599609375,5081524,0.0,0.0,807.4191925048829,901.2155491403648,42.33550393234912,-19.83703262044196,6.147333956181363,-25.984366576623323,40.2169927897525,19963371.0,-0.0008353367625670883
2020-05-07 00:00:00+05:30,785.410297417794,788.2860378975014,773.2472577878473,775.8401489257812,3529134,0.0,0.0,809.6915100097656,896.2988667790087,40.27851249892117,-20.941794846508742,4.034057384091668,-24.97585223060041,38.49933243709051,16434237.0,-0.012184903258178186
2020-05-08 00:00:00+05:30,785.4102011254047,787.1544864759788,763.7242051759637,769.3342895507812,4394509,0.0,0.0,810.3656585693359,891.3198637504507,39.29664347325386,-22.087682297455444,2.310535946515973,-24.398218243971417,37.420989846842865,12039728.0,-0.020468172620610806
2020-05-11 00:00:00+05:30,774.2843857811482,780.2244516678957,769.7114345264508,774.6614990234375,2882920,0.0,0.0,811.0492340087891,886.7450259180188,40.574069938972976,-22.308783307672343,1.6715479490392617,-23.980331256711604,35.52269119505702,14922648.0,0.0004870474585495187
2020-05-12 00:00:00+05:30,770.3243242554898,772.4457804728397,758.0670216663572,768.25,3024381,0.0,0.0,811.143521118164,882.0981621565279,39.496787773412095,-22.739238057630132,0.9928745592651786,-23.73211261689531,34.16853005345657,11898267.0,-0.002692793399059096
