Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,OBV,Daily_Return
2020-03-12 00:00:00+05:30,20638.525678696315,21163.03248583434,19775.89139259777,19918.697265625,81474,0.0,0.0,22949.50634765625,22809.1425,26.10187673103512,-464.5591438842348,-355.5360600749407,-109.0230838092941,852.4026713704089,261055.0,-0.03487789894868035
2020-03-13 00:00:00+05:30,18766.22805798054,21234.75757268833,17931.10364504457,20935.291015625,65294,0.0,0.0,22788.84453125,22735.65812806373,37.27338816814511,-529.3549305393208,-336.2654773840213,-193.08945315529945,1031.9061106116046,326349.0,0.11558332079003172
2020-03-16 00:00:00+05:30,20047.894973433577,21013.69162910058,18225.3590667578,19805.267578125,124718,0.0,0.0,22575.29306640625,22620.740851595547,31.56170976564411,-664.2326452344569,-376.91455366332593,-287.31809157113094,1160.2968103879996,201631.0,-0.012102387588826343
2020-03-17 00:00:00+05:30,19556.699333479803,20432.056356377,19011.36230505361,19655.390625,61210,0.0,0.0,22363.1724609375,22504.45260741533,30.885697804910453,-774.2924618946345,-389.5794962588028,-384.71296563583167,1179.2995271276475,140421.0,0.0050464186127382096
2020-03-18 00:00:00+05:30,19943.75267414027,20239.484954297728,17783.23678023247,18956.291015625,447921,0.0,0.0,22135.9296875,22365.309015580417,27.885429566922266,-907.4664470697644,-418.2027851471462,-489.2636619226182,1272.3420080724609,-307500.0,-0.04951232973299175
2020-03-19 00:00:00+05:30,17675.16466593277,19117.47382266369,16112.892713129077,17421.138671875,130151,0.0,0.0,21844.19453125,22171.419982493928,22.67623362888997,-1123.925836699058,-507.7297398211517,-616.1960968779063,1398.3775726580498,-437651.0,-0.014371916689827626
2020-03-20 00:00:00+05:30,17080.747604861783,18850.52407911957,16728.767286803588,18572.8203125,109690,0.0,0.0,21573.07216796875,22030.29842680789,32.81593731451186,-1188.8362152282862,-458.1120946803039,-730.7241205479822,1450.9398282511754,-327961.0,0.08735406330888706
2020-03-23 00:00:00+05:30,16813.507181846166,17272.284371293405,15786.943375898893,16662.595703125,64085,0.0,0.0,21212.59306640625,21819.80028078111,26.588111810355116,-1378.5265237671047,-518.241922575298,-860.2846011918067,1547.8196619703717,-392046.0,-0.008975609733828011
2020-03-24 00:00:00+05:30,17095.487591099823,17861.886927380692,16093.780635091582,16682.837890625,73476,0.0,0.0,20876.00859375,21618.350775284795,26.74676037576362,-1509.819821496756,-519.6281762439594,-990.1916452527967,1563.7881635248164,-318570.0,-0.02413793103448277
2020-03-25 00:00:00+05:30,16505.986301664445,17633.256357352766,16261.78536174894,17133.06640625,43063,0.0,0.0,20574.6857421875,21442.457270616764,30.352035573115458,-1559.5633518448085,-455.4973652736094,-1104.0659865711991,1549.861935488939,-275507.0,0.03799107142857141
2020-03-26 00:00:00+05:30,17144.615865016913,17734.115550920073,16808.20766047265,17246.845703125,68024,0.0,0.0,20284.3033203125,21277.9234836563,31.27260468901099,-1571.6869903799525,-374.0968030470026,-1197.5901873329499,1504.7240916825913,-207483.0,0.005962795487105913
2020-03-27 00:00:00+05:30,17488.48937327531,18244.620530029893,16541.409841337874,17357.080078125,56733,0.0,0.0,19982.36669921875,21124.164918733506,32.207510877731025,-1554.4809793703898,-285.5126336299518,-1268.968345740438,1519.069834526054,-150750.0,-0.007514044943820144
