Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,1702.5623895334975,1714.3078997279497,1695.905067976242,1705.41552734375,397285,0.0,0.0
2020-01-02 00:00:00+05:30,1703.32295510159,1711.7872855792211,1696.095030548972,1702.9901123046875,411266,0.0,0.0
2020-01-03 00:00:00+05:30,1692.6713447692166,1692.6713447692166,1661.52459512299,1665.66162109375,1318628,0.0,0.0
2020-01-06 00:00:00+05:30,1652.8700222066104,1652.917620934985,1611.071605215112,1623.577880859375,1871804,0.0,0.0
2020-01-07 00:00:00+05:30,1627.2397248816658,1655.2955822072117,1627.2397248816658,1639.9837646484375,1033650,0.0,0.0
2020-01-08 00:00:00+05:30,1612.9735013941915,1651.015329257262,1612.0224556976148,1644.1678466796875,1006057,0.0,0.0
2020-01-09 00:00:00+05:30,1676.6941971236984,1688.1067497983918,1655.7711838867606,1685.7767333984375,1781733,0.0,0.0
2020-01-10 00:00:00+05:30,1685.253444397759,1709.3149536703488,1673.8408928555618,1704.7974853515625,1256612,0.0,0.0
2020-01-13 00:00:00+05:30,1710.9315307227416,1719.4433448741534,1706.5091441809684,1716.542724609375,823821,0.0,0.0
2020-01-14 00:00:00+05:30,1716.6378918081873,1732.4728296523485,1716.4477290612886,1730.09521484375,775629,0.0,0.0
2020-01-15 00:00:00+05:30,1728.5259447370847,1754.6797073121988,1721.4881817707053,1752.0643310546875,1252925,0.0,0.0
2020-01-16 00:00:00+05:30,1746.0726567043646,1757.532806125819,1739.225172728675,1745.3118896484375,1031569,0.0,0.0
2020-01-17 00:00:00+05:30,1745.7397827946727,1748.8782806161187,1726.1482610125422,1740.4615478515625,862204,0.0,0.0
2020-01-20 00:00:00+05:30,1748.022229045174,1771.0850903369833,1743.8376041898298,1758.2459716796875,1091453,0.0,0.0
2020-01-21 00:00:00+05:30,1749.876816436416,1752.3496285942927,1706.0336246883262,1722.1063232421875,2101561,0.0,0.0
2020-01-22 00:00:00+05:30,1726.1483288253478,1729.6671522589938,1680.3554449822439,1692.1484375,3415306,0.0,0.0
2020-01-23 00:00:00+05:30,1691.910521930491,1701.420980176306,1671.082595153264,1689.1524658203125,1885275,0.0,0.0
2020-01-24 00:00:00+05:30,1696.3329177683997,1711.7874125047156,1693.0993387277554,1699.3287353515625,1195596,0.0,0.0
2020-01-27 00:00:00+05:30,1699.519089719343,1717.3512010412444,1692.8617681591666,1700.802978515625,969054,0.0,0.0
2020-01-28 00:00:00+05:30,1706.176221339532,1706.176221339532,1686.2042588823804,1692.005615234375,873291,0.0,0.0
2020-01-29 00:00:00+05:30,1699.5188302607487,1715.5439286366493,1693.8125555088939,1708.981689453125,873805,0.0,0.0
