Date,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-09-16,1901.5394287109375,1903.2457196993976,1884.7690734614962,1897.1518233120405,1570181,61.69650137287897,34.79366314719027,-5.685556570663948,40.47921971785422
2024-09-17,1903.7818603515625,1909.534402810906,1893.6415938633418,1899.1017007350288,2793127,62.124613515179654,34.37274425793703,-4.885180367933756,39.257924625870785
2024-09-18,1844.8905029296875,1890.3265684033404,1834.3115231145357,1890.3265684033404,6385468,47.20326233295591,28.95336625398022,-8.243646697512453,37.197012951492674
2024-09-19,1846.88916015625,1876.8224480606875,1831.873895960651,1862.8795667117413,7976570,47.66270063448275,24.536898978309864,-10.12809117854625,34.66499015685611
2024-09-20,1858.15087890625,1867.1698455230062,1820.7587546291713,1857.4196113427292,15242974,50.287733332556115,21.695451765424878,-10.375630713144993,32.07108247856987
2024-09-23,1849.0830078125,1870.9723537088278,1831.5325872912213,1861.3195986178432,3636672,48.19177948494553,18.498642132290797,-10.857952277023259,29.356594409314056
2024-09-24,1851.1793212890625,1863.172156185441,1824.6587335944862,1840.8440975119734,7277616,48.72385174973331,15.950435749677354,-10.724926927709365,26.67536267738672
2024-09-25,1847.9617919921875,1854.1043676482084,1829.9238601233028,1839.235261648182,4268341,47.910545649639765,13.515537406287194,-10.527860216879624,24.04339762316682
2024-09-26,1852.7882080078125,1870.0460745062019,1845.7192883877328,1850.399448296488,8952803,49.27825412205647,11.838843544122028,-9.763643263235835,21.602486807357863
2024-09-27,1859.1258544921875,1925.2811678990213,1855.7620713951017,1883.8426736989857,14908931,51.09415620132982,10.895846151787964,-8.565312524455923,19.461158676243887
2024-09-30,1828.75390625,1853.7632808251788,1823.7813106027597,1833.044033110499,6986955,43.12586224132981,7.610027866089013,-9.4809046481239,17.090932514212913
2024-10-01,1856.7857666015625,1861.2708503856265,1828.1688539454187,1828.1688539454187,4029072,50.758723555292235,7.185104646180662,-7.924662294425801,15.109766940606463
2024-10-03,1846.1092529296875,1864.0983863063177,1834.0189394659815,1842.3066380228454,7503887,48.110384433300176,5.918618358796039,-7.3529188654483395,13.271537224244378
2024-10-04,1870.2410888671875,1905.2931311832979,1838.8940639202572,1842.355444469921,10001483,53.9578071469011,6.783955121713461,-5.190065682024734,11.974020803738195
2024-10-07,1885.9876708984375,1893.4953029152355,1868.1934951630085,1875.164816740863,6112575,57.33630121659791,8.640753088068095,-2.6666141725360824,11.307367260604178
2024-10-08,1899.8818359375,1909.0469604018253,1858.7357782951613,1889.4978132388082,5637391,60.11719076109632,11.105405650714829,-0.16156928791147962,11.266974938626309
2024-10-09,1903.976806640625,1927.6211223804971,1896.5178543658283,1903.7818495832903,4857163,60.92558051168378,13.236508248471182,1.5756266478758985,11.660881600595284
2024-10-10,1871.0699462890625,1914.9460002666592,1866.2923077183304,1908.9983811984232,4782119,51.83345276340121,12.130283438059223,0.3755214699711509,11.754761968088072
2024-10-11,1886.7677001953125,1898.3705021069761,1862.3921159361064,1870.094824366297,4709431,55.263232317336005,12.377588716575929,0.4982613987902855,11.879327317785643
2024-10-14,1909.9732666015625,1920.3084903207136,1882.8675698277727,1883.8913919551653,3751378,59.81823880636661,14.281447565866074,1.9216961984643444,12.35975136740173
2024-10-15,1910.3634033203125,1941.71031054596,1903.001929010567,1911.0458720946388,5353705,59.89217597841005,15.641445347678882,2.6253551842217213,13.01609016345716
2024-10-16,1872.1424560546875,1910.6072016149433,1868.4861182079758,1906.170797419034,3111512,50.155293160936345,13.479756131639988,0.3709327745462616,13.108823357093726
2024-10-17,1918.9434814453125,1928.596236666682,1881.9413919550382,1886.8651885882837,8162822,58.95467486167763,15.36592465585727,1.8056810390108353,13.560243616846435
2024-10-18,1832.6539306640625,1888.474019455993,1822.5624624334712,1846.4993341440768,10526196,43.653110619321254,9.785084837228396,-3.0201270236944318,12.805211860922828
2024-10-21,1806.474609375,1851.3744846784607,1792.0930141849954,1843.86673306473,4654601,40.240651602436024,3.2127421433092422,-7.67397577409087,10.886717917400112
2024-10-22,1805.3531494140625,1830.8988317246783,1800.8192671870856,1811.7882795000614,4125240,40.09605305001002,-2.0626028376229897,-10.359456604018481,8.296853766395492
2024-10-23,1826.60888671875,1838.894157924995,1797.9431745565698,1799.1619538234872,4311910,44.1895243457338,-4.476588062337214,-10.218753462986164,5.74216540064895
2024-10-24,1816.809814453125,1836.944071310787,1813.543509892815,1814.9085664464787,2906475,42.739551912033505,-7.098564153461211,-10.27258364328813,3.174019489826918
2024-10-25,1815.5423583984375,1829.4851215197311,1800.2832184781212,1816.9072959329033,4689120,42.54509537220387,-9.17303121322334,-9.877640562440206,0.7046093492168666
2024-10-28,1818.7598876953125,1834.896572683092,1810.6184660544925,1813.2509816437453,7018940,43.250966376474445,-10.437120946183995,-8.91338423632069,-1.523736709863306
2024-10-29,1813.7799072265625,1825.9091734808057,1803.6227707551052,1820.3868971098545,4621252,42.38304535756176,-11.705826490071104,-8.145671824166238,-3.5601546659048657
2024-10-30,1777.0960693359375,1813.4841106394226,1771.4258498491638,1806.5812347424808,5919715,36.56263405128327,-15.49277287054474,-9.5460945637119,-5.946678306832841
2024-10-31,1732.868408203125,1763.0931679230187,1722.2675629117984,1763.0931679230187,7395236,31.0298352481699,-21.81133034879781,-12.691721633571975,-9.119608715225835
2024-11-01,1736.4183349609375,1741.4969032331146,1727.7405064233335,1740.017715602962,371966,31.92033725055246,-26.230019909782413,-13.688328955645261,-12.541690954137152
2024-11-04,1739.1795654296875,1742.4830604559677,1694.1629303131592,1700.5727434953685,7336722,32.64876610558456,-29.17276947247956,-13.304862814673925,-15.867906657805634
2024-11-05,1729.860595703125,1743.9128783247852,1720.7882929682014,1735.5801694120541,3160880,31.42663566008606,-31.88928287474596,-12.817100973552257,-19.0721819011937
2024-11-06,1798.3963623046875,1801.8478002805573,1738.1934949801216,1739.5247398383508,10421494,47.10774912365184,-28.186954069277363,-7.291817734466928,-20.895136334810434
2024-11-07,1778.032958984375,1800.3685968171349,1762.2056025400752,1787.7955014436675,4550965,43.89584464070675,-26.589481292034407,-4.555475965779177,-22.03400532625523
2024-11-08,1804.5595703125,1815.0618266546207,1787.9927409344914,1792.775423572222,4210960,48.79373914602352,-22.918803069534533,-0.7078381946234416,-22.21096487491109
2024-11-11,1834.291259765625,1842.081672068644,1797.2623347827093,1803.6227934762044,3804234,53.67520648276414,-17.409973929497482,3.8407927563308917,-21.250766685828374
2024-11-12,1842.87060546875,1854.9012833451236,1835.1787816614965,1845.1386209364089,5012450,55.00805667440528,-12.211143191845622,7.231698795186205,-19.442841987031827
2024-11-13,1842.4761962890625,1847.2095246339784,1830.544106425298,1835.2774347702136,4257495,54.92981223365676,-8.0302897200786,9.130041813562581,-17.16033153364118
2024-11-14,1838.6795654296875,1849.9706494411498,1830.2481478479606,1839.714924537372,4311431,54.1316077610366,-4.966044137304152,9.755429917069623,-14.721474054373775
2024-11-18,1786.3162841796875,1823.5425071201328,1770.0945742542924,1823.5425071201328,4839244,44.5222145722697,-6.685816681998631,6.428525897900116,-13.114342579898747
2024-11-19,1799.4317626953125,1833.8967865305349,1795.2900854570928,1800.1713565147516,4669769,47.05730275950482,-6.910776182356358,4.962853118033912,-11.87362930039027
2024-11-21,1808.602783203125,1841.095557014798,1795.339328415918,1816.442429577535,5436504,48.81848892949995,-6.276679839479357,4.477559568728733,-10.75423940820809
2024-11-22,1875.8564453125,1887.4927694808482,1808.553408176173,1828.374498334409,6301486,59.46703925323187,-0.34338709671146717,8.328681849197299,-8.672068945908766
2024-11-25,1863.4805908203125,1892.6699906690035,1855.8874755481472,1889.4157296228746,12764638,57.11225755527853,3.3218696749886476,9.595150896717932,-6.273281221729284
2024-11-26,1897.45263671875,1911.702096274213,1870.9752018384395,1878.518962558038,6850495,61.606562384527614,8.865674286595095,12.111164406659503,-3.2454901200644084
2024-11-27,1897.7977294921875,1914.4632675339492,1885.224634635848,1903.3200059027895,4447143,61.65052541315967,13.135606391158035,13.104877208977955,0.03072918218008036
2024-11-28,1830.88916015625,1888.3309462638708,1825.9585347392867,1888.3309462638708,8468790,49.75468459376813,10.99386554153989,8.770509087487847,2.2233564540520425
2024-11-29,1832.072509765625,1850.9568296791742,1819.4008261897052,1825.4161652795651,5244346,49.938667206137,9.28497549382314,5.649295231816878,3.635680262006262
2024-12-02,1853.718017578125,1856.6763928884145,1809.7367416638726,1833.2065672761437,2868263,53.30669169445778,9.566997014200524,4.74505340175541,4.821943612445114
2024-12-03,1865.8472900390625,1873.391171179535,1845.1880172073568,1860.8180760709474,4715792,55.12846935890766,10.646505729166847,4.659649693377386,5.986856035789462
2024-12-04,1863.036865234375,1887.3941073159906,1848.9845824080737,1857.8597084036323,4705573,54.596935546935676,11.146753533063702,4.127917997819392,7.01883553524431
2024-12-05,1908.004150390625,1922.845381488632,1862.7409836386182,1873.6377142854979,9050038,61.065385502679064,14.998790901481016,6.383964292989363,8.614826608491652
2024-12-06,1895.7269287109375,1911.061101890244,1885.8656776464575,1905.9826538933166,3573331,58.61024307561462,16.866462997428698,6.601309111149636,10.265153886279062
2024-12-09,1896.9595947265625,1903.4186419806354,1870.876513302606,1897.5018913119027,4274645,58.78939463423998,18.235860783278895,6.376565517599865,11.85929526567903
2024-12-10,1921.51416015625,1938.3275213087989,1905.193741189519,1912.096617063394,6174921,62.2908306454302,21.059703461361323,7.360326556545834,13.69937690481549
2024-12-11,1946.7589111328125,1950.5554687332371,1924.9162158580782,1927.8745911898272,5025612,65.53319454090338,25.0459454840709,9.077254863404328,15.968690620666571
2024-12-12,1959.4305419921875,1971.0668661345264,1943.2088325103296,1947.7942178498488,6462130,67.0640395629925,28.89448804353333,10.340637938293405,18.553850105239924
2024-12-13,1971.954345703125,1978.6106902340612,1926.6912991940405,1942.419946638723,5362693,68.55075823307618,32.57949589420059,11.220516631168532,21.358979263032058
2024-12-16,1952.5770263671875,1971.8556995891386,1950.1609476784474,1967.7632564033934,3119221,63.755435848485135,33.54956493679447,9.752468539009925,23.797096397784543
2024-12-17,1949.1749267578125,1954.5000265866995,1930.8330232375165,1940.6942746330094,5811050,62.923184981949994,33.655866754183535,7.887016285119195,25.76885046906434
2024-12-18,1951.6895751953125,1957.4090287235867,1934.3830310124576,1939.5109539146308,3064095,63.304483377953254,33.55620774852923,6.229885823571912,27.32632192495732
2024-12-19,1919.1966552734375,1932.5586987644317,1893.360225349003,1907.165976992173,5323592,55.37935033469631,30.503692605049082,2.54189654407341,27.961796060975672
2024-12-20,1895.4803466796875,1952.4783040802065,1884.7315592319012,1947.7449759219587,11056720,50.41799118384951,25.87260122185171,-1.6713558712991698,27.54395709315088
2024-12-23,1897.6005859375,1913.0827019209628,1882.5128236943906,1903.270805285977,2781793,50.84199476398929,22.118544708894888,-4.340329907404794,26.45887461629968
2024-12-24,1882.5621337890625,1915.0549070531515,1814.4701488042217,1900.312385244756,2360544,47.72460774227963,17.725620549193764,-6.986603253684734,24.712223802878498
