Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,19871.889450564595,19983.07450074199,19786.111921619147,19818.150390625,4879,0.0,0.0
2020-01-02 00:00:00+05:30,19818.246035893568,20754.44397444458,19818.246035893568,20707.873046875,31788,0.0,0.0
2020-01-03 00:00:00+05:30,20676.517653185623,20870.554305712598,20432.69079406787,20600.6875,19053,0.0,0.0
2020-01-06 00:00:00+05:30,20603.176531800964,20695.975516029845,20082.947133001955,20544.267578125,25717,0.0,0.0
2020-01-07 00:00:00+05:30,20576.202338026033,21505.52340732653,20433.660812104223,21420.818359375,83884,0.0,0.0
2020-01-08 00:00:00+05:30,21309.48879759748,22131.331859491143,21174.214439586194,21887.1640625,68506,0.0,0.0
2020-01-09 00:00:00+05:30,21965.67991811357,22392.912200316732,21775.933093236483,22251.201171875,40252,0.0,0.0
2020-01-10 00:00:00+05:30,22301.868231663673,22831.460187135363,22162.545940747885,22768.943359375,41458,0.0,0.0
2020-01-13 00:00:00+05:30,22695.4037719611,23663.933571983885,22653.515080030655,23240.794921875,55253,0.0,0.0
2020-01-14 00:00:00+05:30,23085.52600076931,23232.01640929269,22846.331862548413,22978.2421875,22816,0.0,0.0
2020-01-15 00:00:00+05:30,23085.525849908197,23212.3158102161,22774.890447153834,23142.630859375,24055,0.0,0.0
2020-01-16 00:00:00+05:30,23163.553052579413,23504.91067651216,22496.101748020683,22715.740234375,59132,0.0,0.0
2020-01-17 00:00:00+05:30,22758.794836932288,23062.505897672592,22632.00489355105,22749.919921875,32537,0.0,0.0
2020-01-20 00:00:00+05:30,22757.041438614942,22928.30693877348,22471.032548907646,22561.8828125,26423,0.0,0.0
2020-01-21 00:00:00+05:30,22588.216880957716,22820.924849195155,22267.780772700742,22386.71875,29652,0.0,0.0
2020-01-22 00:00:00+05:30,22393.058253391093,22724.613247235324,22321.860812080224,22448.357421875,28102,0.0,0.0
2020-01-23 00:00:00+05:30,22448.356031260493,22627.130631354157,22345.363955573073,22509.16796875,15181,0.0,0.0
2020-01-24 00:00:00+05:30,22442.896489076706,22726.61380229754,22305.280991268763,22563.396484375,31218,0.0,0.0
2020-01-27 00:00:00+05:30,22529.503825409312,23179.155704584,22393.20461604654,23015.7421875,35307,0.0,0.0
2020-01-28 00:00:00+05:30,22978.240561145594,23397.622710606232,22786.154545578225,22863.154296875,13422,0.0,0.0
2020-01-29 00:00:00+05:30,22957.857524971892,23192.8094533573,22633.080168034638,22925.76953125,13788,0.0,0.0
2020-01-30 00:00:00+05:30,22848.818891832998,23065.043771727564,22704.37434780476,22905.38671875,18380,0.0,0.0
2020-01-31 00:00:00+05:30,23043.883894601007,23098.20776095283,22263.978863195218,22438.802734375,26041,0.0,0.0
2020-02-03 00:00:00+05:30,21862.5877455483,22777.328933531215,21856.688278738948,22692.96484375,19173,0.0,0.0
2020-02-04 00:00:00+05:30,22822.192034874097,24050.39734510292,22727.781521249595,23880.791015625,46295,0.0,0.0
2020-02-05 00:00:00+05:30,23809.254159007556,24665.524542648407,23809.254159007556,24278.765625,65213,0.0,0.0
2020-02-06 00:00:00+05:30,24429.499425213846,24650.84467469508,24139.10165078645,24395.0703125,35930,0.0,0.0
2020-02-07 00:00:00+05:30,24402.24163080587,24728.920095268157,24090.093723254722,24302.857421875,15201,0.0,0.0
2020-02-10 00:00:00+05:30,24382.68390613257,24528.248529052184,24207.61623568654,24345.28125,33336,0.0,0.0
2020-02-11 00:00:00+05:30,24431.449957912504,24617.196487150595,24084.533883542877,24200.740234375,9352,0.0,0.0
2020-02-12 00:00:00+05:30,24364.15500622011,24525.080732813374,23837.488991914885,24080.291015625,15946,0.0,0.0
