Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,1171.6467528364622,1176.1099368564287,1130.2033459705872,1132.7047119140625,3137636,0.0,0.0
2020-01-02 00:00:00+05:30,1134.9118709578602,1137.7565314017556,1118.236415636958,1133.53857421875,3286436,0.0,0.0
2020-01-03 00:00:00+05:30,1133.9308823015926,1133.9308823015926,1110.389064675954,1117.9420166015625,2695237,0.0,0.0
2020-01-06 00:00:00+05:30,1139.816438317773,1149.037008324431,1128.1435954231677,1136.4813232421875,4494752,0.0,0.0
2020-01-07 00:00:00+05:30,1148.5955428446118,1151.4402033809558,1130.056455353721,1137.8055419921875,2363578,0.0,0.0
2020-01-08 00:00:00+05:30,1123.140886196478,1134.2252065937564,1116.2745227000803,1121.473388671875,2370166,0.0,0.0
2020-01-09 00:00:00+05:30,1132.9498922566427,1145.701709225765,1126.5739837720814,1141.238525390625,1764131,0.0,0.0
2020-01-10 00:00:00+05:30,1144.7210367953046,1148.350352940601,1128.7812622898002,1132.018310546875,1517311,0.0,0.0
2020-01-13 00:00:00+05:30,1132.9499201505605,1140.2576444668387,1126.5740115090207,1136.824462890625,1135936,0.0,0.0
2020-01-14 00:00:00+05:30,1139.816357338543,1146.3394267050223,1135.0589722218956,1144.8189697265625,1324743,0.0,0.0
2020-01-15 00:00:00+05:30,1151.0968083998307,1168.753171886151,1148.2521481123922,1162.2301025390625,2665214,0.0,0.0
2020-01-16 00:00:00+05:30,1162.2302201046375,1172.6769268387577,1151.6854464003159,1170.1265869140625,1644541,0.0,0.0
2020-01-17 00:00:00+05:30,1171.9903345596654,1174.0011265319856,1161.3964675341747,1166.0557861328125,1034774,0.0,0.0
2020-01-20 00:00:00+05:30,1167.2818300774227,1172.1863755819497,1156.5898969295777,1165.1728515625,1139858,0.0,0.0
2020-01-21 00:00:00+05:30,1160.8568302558272,1161.2983111961842,1138.8354687855135,1153.7452392578125,925998,0.0,0.0
2020-01-22 00:00:00+05:30,1159.2385216713894,1163.309198993513,1149.625563771203,1155.167724609375,902471,0.0,0.0
2020-01-23 00:00:00+05:30,1153.5492672486287,1183.614159428896,1152.5683580077712,1181.11279296875,2101116,0.0,0.0
2020-01-24 00:00:00+05:30,1185.8211208618761,1206.518280423604,1183.0255536722868,1204.4093017578125,2841654,0.0,0.0
2020-01-27 00:00:00+05:30,1204.556301887172,1216.6705045909127,1185.7718698112337,1190.62744140625,2332864,0.0,0.0
2020-01-28 00:00:00+05:30,1191.8044597035173,1200.1421863763403,1165.614236756598,1172.186279296875,1703068,0.0,0.0
2020-01-29 00:00:00+05:30,1175.6196743968264,1184.8402448106624,1159.0422849942743,1163.554443359375,1380266,0.0,0.0
2020-01-30 00:00:00+05:30,1168.2628658020524,1168.7533204056638,1153.7453616392013,1156.7371826171875,1859283,0.0,0.0
2020-01-31 00:00:00+05:30,1162.867661701155,1171.9901636281631,1157.4726620053673,1165.07470703125,1809101,0.0,0.0
2020-02-03 00:00:00+05:30,1147.6636767466246,1169.5379981395436,1140.3559516581656,1163.7506103515625,3595537,0.0,0.0
2020-02-04 00:00:00+05:30,1172.186346381531,1263.2147565738887,1162.377255616832,1251.44384765625,7875930,0.0,0.0
2020-02-05 00:00:00+05:30,1260.223105043993,1272.9258313923008,1231.0410561044648,1255.4166259765625,5459816,0.0,0.0
2020-02-06 00:00:00+05:30,1260.4191344404255,1269.4925438622797,1228.1473199643322,1235.2589111328125,2463971,0.0,0.0
2020-02-07 00:00:00+05:30,1239.9181512536022,1255.0731484087776,1234.3759910895194,1250.6590576171875,2277867,0.0,0.0
2020-02-10 00:00:00+05:30,1246.637502234667,1250.659205929285,1229.4224982100372,1233.198974609375,1021943,0.0,0.0
2020-02-11 00:00:00+05:30,1238.8882098345234,1254.4846886806542,1234.5232121772192,1246.441162109375,1351413,0.0,0.0
2020-02-12 00:00:00+05:30,1252.571861301049,1264.3427708201093,1241.683793943895,1244.773681640625,1195516,0.0,0.0
2020-02-13 00:00:00+05:30,1245.7545926828338,1283.0291395505092,1245.7545926828338,1273.318115234375,4458645,0.0,0.0
2020-02-14 00:00:00+05:30,1281.9991088755737,1285.6775180250388,1265.3727474159446,1268.7568359375,1416212,0.0,0.0
2020-02-17 00:00:00+05:30,1268.3646266182018,1296.3695110578783,1263.754281760856,1290.925537109375,2347399,0.0,0.0
2020-02-18 00:00:00+05:30,1288.914528992956,1293.721007425,1276.4079382435953,1285.9718017578125,1761012,0.0,0.0
2020-02-19 00:00:00+05:30,1291.857365390991,1307.453845003142,1287.0019129386656,1304.216796875,1445826,0.0,0.0
2020-02-20 00:00:00+05:30,1304.6091050788393,1315.4481985470632,1294.800014063209,1297.5955810546875,1513648,0.0,0.0
2020-02-24 00:00:00+05:30,1284.9910409605548,1292.6421805507803,1249.5311497372145,1255.4656982421875,1341317,0.0,0.0
2020-02-25 00:00:00+05:30,1260.468116068807,1262.1847068883558,1232.8065290440243,1236.04345703125,1358874,0.0,0.0
2020-02-26 00:00:00+05:30,1232.0218802602158,1242.811880803896,1221.329946682592,1231.1390380859375,1506693,0.0,0.0
2020-02-27 00:00:00+05:30,1226.1365152809503,1261.4492469210418,1226.1365152809503,1253.50390625,4569014,0.0,0.0
2020-02-28 00:00:00+05:30,1231.040869568771,1246.4410939056734,1212.0603032170206,1230.5504150390625,2728105,0.0,0.0
2020-03-02 00:00:00+05:30,1250.6590928424107,1269.2963655984938,1204.556365498416,1220.3980712890625,2773593,0.0,0.0
2020-03-03 00:00:00+05:30,1224.3706464971556,1247.7163301298117,1201.613604095141,1223.193603515625,2660100,0.0,0.0
2020-03-04 00:00:00+05:30,1228.0491464419038,1241.487673465697,1194.0607406292693,1227.0682373046875,3007393,0.0,0.0
2020-03-05 00:00:00+05:30,1229.5696555981765,1240.9972714789178,1218.4853339820295,1235.11181640625,1555538,0.0,0.0
2020-03-06 00:00:00+05:30,1205.537224323802,1223.14449390272,1196.4147222486731,1218.8775634765625,1678642,0.0,0.0
2020-03-09 00:00:00+05:30,1201.613613997518,1218.1419079237128,1152.5681603649664,1180.4749755859375,2285787,0.0,0.0
2020-03-11 00:00:00+05:30,1175.0800993078976,1190.186124563893,1155.0696479125656,1164.976806640625,2314388,0.0,0.0
2020-03-12 00:00:00+05:30,1128.0455678528413,1131.920111255162,1044.3249924823501,1056.1939697265625,3608906,0.0,0.0
2020-03-13 00:00:00+05:30,1035.4476658908666,1113.037555040893,927.9890814061158,1063.6488037109375,4337046,0.0,0.0
