Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,2720.134026567129,2727.549287709975,2704.6781681136404,2715.622314453125,110561,0.0,0.0
2020-01-02 00:00:00+05:30,2722.1888234378844,2738.2700176688927,2718.659938326889,2727.906494140625,138428,0.0,0.0
2020-01-03 00:00:00+05:30,2720.4018269572607,2733.802821178725,2703.1144571655154,2714.86279296875,168305,0.0,0.0
2020-01-06 00:00:00+05:30,2707.001165828925,2708.9218879909545,2675.7768890738325,2699.898681640625,181158,0.0,0.0
2020-01-07 00:00:00+05:30,2710.485595240554,2728.4430186605246,2705.2146236097146,2712.89794921875,159307,0.0,0.0
2020-01-08 00:00:00+05:30,2698.067121067294,2714.7736520018634,2675.732128343227,2701.283447265625,194024,0.0,0.0
2020-01-09 00:00:00+05:30,2722.3672315281906,2723.9753944395065,2675.8212429973723,2681.181640625,434270,0.0,0.0
2020-01-10 00:00:00+05:30,2693.5551306230286,2693.5998442268897,2660.588772014368,2671.04150390625,526254,0.0,0.0
2020-01-13 00:00:00+05:30,2675.7318037029586,2730.4525292377853,2668.8526704016076,2720.4912109375,420792,0.0,0.0
2020-01-14 00:00:00+05:30,2732.0159450333504,2786.5133199996794,2713.3884763438873,2774.1396484375,653300,0.0,0.0
2020-01-15 00:00:00+05:30,2787.406859158484,2799.869740434577,2763.1956418216582,2782.22509765625,438959,0.0,0.0
2020-01-16 00:00:00+05:30,2783.833433668459,2823.1430200232126,2782.940033978578,2814.432373046875,768872,0.0,0.0
2020-01-17 00:00:00+05:30,2818.675972028514,2831.1835674669924,2782.35936251928,2791.382568359375,294064,0.0,0.0
2020-01-20 00:00:00+05:30,2807.955203300869,2807.955203300869,2773.469888295527,2778.875,203111,0.0,0.0
2020-01-21 00:00:00+05:30,2769.538853769084,2796.340842676527,2749.2140121809402,2779.589599609375,220943,0.0,0.0
2020-01-22 00:00:00+05:30,2792.3209203205693,2804.1137534046957,2759.622402204645,2775.21240234375,248578,0.0,0.0
2020-01-23 00:00:00+05:30,2772.9785924869325,2789.997681337062,2741.039554981138,2781.1083984375,203032,0.0,0.0
2020-01-24 00:00:00+05:30,2781.28711523121,2870.4484465555183,2780.304506456301,2852.178466796875,580192,0.0,0.0
2020-01-27 00:00:00+05:30,2847.2644154842474,2867.8126054924487,2818.6756293858803,2835.828857421875,322446,0.0,0.0
2020-01-28 00:00:00+05:30,2843.6017077487204,2867.723498714462,2802.1480505203217,2842.127685546875,292577,0.0,0.0
2020-01-29 00:00:00+05:30,2858.8791968744044,2899.528885454962,2849.9899129946575,2871.5654296875,434882,0.0,0.0
2020-01-30 00:00:00+05:30,2866.874539016033,2889.879578204227,2852.1334459439863,2868.43798828125,337850,0.0,0.0
2020-01-31 00:00:00+05:30,2897.0269348279585,2925.526513876829,2847.130696391686,2859.504150390625,468850,0.0,0.0
2020-02-03 00:00:00+05:30,2767.3948458019036,2902.655465698585,2762.7044976348006,2885.7255859375,657504,0.0,0.0
2020-02-04 00:00:00+05:30,2890.1478057176864,2948.2187817212875,2848.1580230689287,2887.914306640625,511585,0.0,0.0
2020-02-05 00:00:00+05:30,2921.2381741609397,2964.299993004094,2897.9203564093336,2908.864501953125,423733,0.0,0.0
2020-02-06 00:00:00+05:30,2912.7957425795807,2941.9651549720966,2891.3541501959394,2905.514404296875,410631,0.0,0.0
2020-02-07 00:00:00+05:30,2908.9092862194125,2944.645272536604,2892.0241199305997,2904.799560546875,450061,0.0,0.0
2020-02-10 00:00:00+05:30,2921.4169958263374,2930.35099275547,2791.874040353916,2819.212158203125,969115,0.0,0.0
2020-02-11 00:00:00+05:30,2840.965880779908,2857.806549693908,2791.1588554224454,2800.53955078125,507516,0.0,0.0
2020-02-12 00:00:00+05:30,2791.159336150203,2866.919675338427,2791.159336150203,2802.416259765625,669153,0.0,0.0
2020-02-13 00:00:00+05:30,2798.1277369747604,2808.535755774599,2774.184582447859,2800.986572265625,319421,0.0,0.0
2020-02-14 00:00:00+05:30,2783.8332686580557,2822.249453045827,2760.872941612114,2766.5458984375,270506,0.0,0.0
