Price,Close,High,Low,Open,Volume,RSI,Returns,Perf
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
Date,,,,,,,,
2025-07-01,1528.4000244140625,1531.4000244140625,1500.0999755859375,1500.5999755859375,10368523,,,
2025-07-02,1518.800048828125,1530.0,1508.699951171875,1528.4000244140625,6361002,,-0.6281062177827312,
2025-07-03,1517.800048828125,1531.9000244140625,1513.0,1520.800048828125,11283291,,-0.06584145166255162,
2025-07-04,1527.300048828125,1530.0,1517.199951171875,1524.0,6603501,,0.6259058963224318,
2025-07-07,1541.5,1544.800048828125,1525.0,1526.5999755859375,7251074,,0.9297420754206254,
2025-07-08,1537.5999755859375,1544.9000244140625,1530.199951171875,1536.0,7171261,,-0.2530019081454782,0.6019334614576488
2025-07-09,1519.0,1551.0,1510.0999755859375,1536.699951171875,8870660,,-1.2096758507588734,0.013165075417886918
2025-07-10,1517.199951171875,1524.699951171875,1507.5,1519.699951171875,10047129,,-0.11850222699967272,-0.03953733278064808
2025-07-11,1495.199951171875,1515.0,1490.300048828125,1512.0,7234991,,-1.4500395931997812,-2.10175450991964
2025-07-14,1483.699951171875,1500.0,1479.0999755859375,1492.199951171875,10311846,,-0.7691279009865437,-3.7495977183344187
2025-07-15,1485.4000244140625,1496.5,1482.4000244140625,1486.199951171875,8132454,,0.11458335904404038,-3.3948980229388304
2025-07-16,1485.5999755859375,1491.0,1471.5,1473.0,10409983,,0.01346109927216066,-2.198816617120636
2025-07-17,1476.4000244140625,1489.5999755859375,1473.9000244140625,1487.4000244140625,11854613,,-0.6192751294470389,-2.689159509021799
2025-07-18,1476.0,1484.800048828125,1469.0999755859375,1484.800048828125,10296318,1507.8500017438616,-0.027094581918696292,-1.284105925553758
2025-07-21,1428.5999755859375,1476.0,1423.0999755859375,1465.0,22442744,1500.721426827567,-3.211383767890408,-3.7136872278264677
2025-07-22,1412.800048828125,1431.9000244140625,1410.699951171875,1427.4000244140625,20396320,1493.1499982561384,-1.1059727724923252,-4.887570647144401
2025-07-23,1424.5999755859375,1426.0,1414.4000244140625,1426.0,8354596,1486.4928501674108,0.8352156249994636,-4.10608515094657
2025-07-24,1402.9000244140625,1423.0,1396.0,1419.199951171875,14740507,1477.607134137835,-1.5232311907733775,-4.978325574680875
2025-07-25,1391.699951171875,1401.0,1384.0999755859375,1398.9000244140625,11854722,1466.9071306501116,-0.7983514895771204,-5.711385421959692
2025-07-28,1387.5999755859375,1407.800048828125,1385.0,1392.300048828125,7748361,1456.1928449358259,-0.29460197814084044,-2.8699426501938685
2025-07-29,1417.0999755859375,1420.199951171875,1383.0,1383.0,10750072,1448.914271763393,2.12597294025918,0.30435494119491757
2025-07-30,1410.0999755859375,1423.300048828125,1401.300048828125,1418.0999755859375,7209849,1441.2642735072545,-0.4939665599179577,-1.0178295836370643
2025-07-31,1390.199951171875,1402.5999755859375,1382.199951171875,1388.0999755859375,17065827,1433.7642735072545,-1.4112491850652997,-0.9052728648637598
2025-08-01,1393.699951171875,1405.9000244140625,1384.300048828125,1386.9000244140625,10321171,1427.335702078683,0.25176234519714846,0.14370913775745287
